Bee_Genus	Snod_se	Gill_se	Lacto_se	Comm_se	n	Symbiont	AbsAbundance	SE
Austroplebeia	NA	NA	NA	NA	1	Snodgrassella	0	NA
Austroplebeia	NA	NA	NA	NA	1	Gilliamella	0	NA
Austroplebeia	NA	NA	NA	NA	1	Lactobacillus	404.626886299719	NA
Austroplebeia	NA	NA	NA	NA	1	Commensalibacter	0	NA
Duckeola	NA	NA	NA	NA	1	Snodgrassella	184035.886425695	NA
Duckeola	NA	NA	NA	NA	1	Gilliamella	1067836.13170258	NA
Duckeola	NA	NA	NA	NA	1	Lactobacillus	384121.414109444	NA
Duckeola	NA	NA	NA	NA	1	Commensalibacter	541407.898438381	NA
Eomelipona	253.962131530031	0	502999.124521685	3336.59505220922	2	Snodgrassella	253.962131530031	253.962131530031
Eomelipona	253.962131530031	0	502999.124521685	3336.59505220922	2	Gilliamella	0	0
Eomelipona	253.962131530031	0	502999.124521685	3336.59505220922	2	Lactobacillus	551781.972486358	502999.124521685
Eomelipona	253.962131530031	0	502999.124521685	3336.59505220922	2	Commensalibacter	3657.53484145049	3336.59505220922
Frieseomelitta	NA	NA	NA	NA	1	Snodgrassella	NA	NA
Frieseomelitta	NA	NA	NA	NA	1	Gilliamella	NA	NA
Frieseomelitta	NA	NA	NA	NA	1	Lactobacillus	NA	NA
Frieseomelitta	NA	NA	NA	NA	1	Commensalibacter	NA	NA
Geotrigona	NA	NA	NA	NA	1	Snodgrassella	0	NA
Geotrigona	NA	NA	NA	NA	1	Gilliamella	0	NA
Geotrigona	NA	NA	NA	NA	1	Lactobacillus	43645.0694529286	NA
Geotrigona	NA	NA	NA	NA	1	Commensalibacter	201696.827946903	NA
Heterotrigona	NA	NA	NA	NA	1	Snodgrassella	4.69246453182002	NA
Heterotrigona	NA	NA	NA	NA	1	Gilliamella	0	NA
Heterotrigona	NA	NA	NA	NA	1	Lactobacillus	653.425686055938	NA
Heterotrigona	NA	NA	NA	NA	1	Commensalibacter	1418.2974047426	NA
Lestrimelitta	14547.3179601711	15646.369295557	38681.384113557	0	2	Snodgrassella	19623.4900429969	14547.3179601711
Lestrimelitta	14547.3179601711	15646.369295557	38681.384113557	0	2	Gilliamella	24831.4298558493	15646.369295557
Lestrimelitta	14547.3179601711	15646.369295557	38681.384113557	0	2	Lactobacillus	39053.4162694644	38681.384113557
Lestrimelitta	14547.3179601711	15646.369295557	38681.384113557	0	2	Commensalibacter	0	0
Melikerria	0	0	1889015.65637221	24.2754294524669	2	Snodgrassella	0	0
Melikerria	0	0	1889015.65637221	24.2754294524669	2	Gilliamella	0	0
Melikerria	0	0	1889015.65637221	24.2754294524669	2	Lactobacillus	2332763.1926287	1889015.65637221
Melikerria	0	0	1889015.65637221	24.2754294524669	2	Commensalibacter	24.2754294524669	24.2754294524669
Meliponula	NA	NA	NA	NA	1	Snodgrassella	0	NA
Meliponula	NA	NA	NA	NA	1	Gilliamella	0	NA
Meliponula	NA	NA	NA	NA	1	Lactobacillus	485599.005112545	NA
Meliponula	NA	NA	NA	NA	1	Commensalibacter	0	NA
Michmelia	NA	NA	NA	NA	1	Snodgrassella	0	NA
Michmelia	NA	NA	NA	NA	1	Gilliamella	0	NA
Michmelia	NA	NA	NA	NA	1	Lactobacillus	12872319.5597954	NA
Michmelia	NA	NA	NA	NA	1	Commensalibacter	0	NA
