CollectionID	sample	Box	PrepDate	BodySize	ColonySize_L	ColonySize_U	ColonySize	Sample_or_Control	Genus	Species	Number_Bees	Country	Area	Preservation	Continent	Region
1	M162	14	8/11/23	5.67	5383	29000	XLarge	True_Sample	Tetragona	clavipes	4	Peru	San Martin, Juan Guerrera	Ethanol/Pinned	South_America	Neotropics
6	M165	15	8/11/23	4.321	NA	1900	Medium	True_Sample	Oxytrigona	obscura	5	Peru	San Martin, Cumbaza	Ethanol/Pinned	South_America	Neotropics
6	M166	15	8/11/23	4.321	NA	1900	Medium	True_Sample	Oxytrigona	obscura	5	Peru	San Martin, Cumbaza	Ethanol/Pinned	South_America	Neotropics
6	M167	15	8/11/23	4.321	NA	1900	Medium	True_Sample	Oxytrigona	obscura	5	Peru	San Martin, Cumbaza	Ethanol/Pinned	South_America	Neotropics
6	M168	15	8/11/23	4.321	NA	1900	Medium	True_Sample	Oxytrigona	obscura	5	Peru	San Martin, Cumbaza	Ethanol/Pinned	South_America	Neotropics
6	M169	15	8/11/23	4.321	NA	1900	Medium	True_Sample	Oxytrigona	obscura	5	Peru	San Martin, Cumbaza	Ethanol/Pinned	South_America	Neotropics
9	M150	13	8/11/23	3.809	387	450	Small	True_Sample	Scaura	latitarsis	5	Peru	San Martin, Tarapoto	Ethanol/Pinned	South_America	Neotropics
9	M151	13	8/11/23	3.809	387	450	Small	True_Sample	Scaura	latitarsis	5	Peru	San Martin, Tarapoto	Ethanol/Pinned	South_America	Neotropics
40	M180	15	8/11/23	5.636	2000	7000	Large	True_Sample	Lestrimelitta	limao	5	Peru	San Martin, Nuevo Progreso	Ethanol/Pinned	South_America	Neotropics
52	M097	7	6/11/23	9.374	NA	3000	Large	True_Sample	Trigona	amalthea	2	Peru	San Martin, Moyobamba	Ethanol/Pinned	South_America	Neotropics
56	M164	14	8/11/23	5.437	5383	29000	XLarge	True_Sample	Tetragona	clavipes	5	Peru	San Martin, Moyobamba	Ethanol/Pinned	South_America	Neotropics
58	M118	8	8/11/23	5.865	400	8000	Large	True_Sample	Trigona	cilipes	1	Peru	San Martin, Tarapoto	Ethanol/Pinned	South_America	Neotropics
84	M163	14	8/11/23	6.106	5383	29000	XLarge	True_Sample	Tetragona	clavipes	2	Peru	San Martin, Tarapoto	Ethanol/Pinned	South_America	Neotropics
86	M137	10	8/11/23	3.147	200	900	Small	True_Sample	Plebeia	minima	1	Peru	San Martin, Shilcayo	Ethanol/Pinned	South_America	Neotropics
89	M149	13	8/11/23	3.586	387	450	Small	True_Sample	Scaura	latitarsis	2	Peru	San Martin, Tarapoto	Ethanol/Pinned	South_America	Neotropics
89	M148	13	8/11/23	3.586	387	450	Small	True_Sample	Scaura	latitarsis	2	Peru	San Martin, Tarapoto	Ethanol/Pinned	South_America	Neotropics
112	M170	15	8/11/23	5.045	700	3000	Large	True_Sample	Nannotrigona	perilampoides	1	Costa Rica	Guanacaste	Ethanol	N_C_America	Neotropics
114	M178	15	8/11/23	4.957	NA	5442	Large	True_Sample	Oxytrigona	mellicolor	5	Costa Rica	Guanacaste	Ethanol/Pinned	N_C_America	Neotropics
114	M175	15	8/11/23	4.957	NA	5442	Large	True_Sample	Oxytrigona	mellicolor	5	Costa Rica	Guanacaste	Ethanol/Pinned	N_C_America	Neotropics
114	M176	15	8/11/23	4.957	NA	5442	Large	True_Sample	Oxytrigona	mellicolor	5	Costa Rica	Guanacaste	Ethanol/Pinned	N_C_America	Neotropics
114	M179	15	8/11/23	4.957	NA	5442	Large	True_Sample	Oxytrigona	mellicolor	5	Costa Rica	Guanacaste	Ethanol/Pinned	N_C_America	Neotropics
114	M177	15	8/11/23	4.957	NA	5442	Large	True_Sample	Oxytrigona	mellicolor	5	Costa Rica	Guanacaste	Ethanol/Pinned	N_C_America	Neotropics
119	M181	15	8/11/23	6.041	2000	7000	Large	True_Sample	Lestrimelitta	limao	5	Peru	Madre de Dios, Tambopata	Ethanol	South_America	Neotropics
119	M182	15	8/11/23	6.041	2000	7000	Large	True_Sample	Lestrimelitta	limao	5	Peru	Madre de Dios, Tambopata	Ethanol	South_America	Neotropics
120	M124	9	8/11/23	8.673	300	1000	Medium	True_Sample	Melikerria	fasciculata	2	Brazil	Sao Paulo, Ribeiro Preto	Ethanol	South_America	Neotropics
120	M125	9	8/11/23	8.673	300	1000	Medium	True_Sample	Melikerria	fasciculata	2	Brazil	Sao Paulo, Ribeiro Preto	Ethanol	South_America	Neotropics
121	M126	9	8/11/23	12.367	1000	2000	Medium	True_Sample	Michmelia	scutellaris	3	Brazil	Minas Gerais, Uberlandia	Ethanol	South_America	Neotropics
121	M127	9	8/11/23	12.367	1000	2000	Medium	True_Sample	Michmelia	scutellaris	3	Brazil	Minas Gerais, Uberlandia	Ethanol	South_America	Neotropics
121	M128	9	8/11/23	12.367	1000	2000	Medium	True_Sample	Michmelia	scutellaris	3	Brazil	Minas Gerais, Uberlandia	Ethanol	South_America	Neotropics
123	M135	9	8/11/23	11.234	1000	3000	Large	True_Sample	Michmelia	seminigra	5	Brazil	Amazonas, INPA	Ethanol	South_America	Neotropics
123	M132	9	8/11/23	11.234	1000	3000	Large	True_Sample	Michmelia	seminigra	5	Brazil	Amazonas, INPA	Ethanol	South_America	Neotropics
123	M133	9	8/11/23	11.234	1000	3000	Large	True_Sample	Michmelia	seminigra	5	Brazil	Amazonas, INPA	Ethanol	South_America	Neotropics
123	M134	9	8/11/23	11.234	1000	3000	Large	True_Sample	Michmelia	seminigra	5	Brazil	Amazonas, INPA	Ethanol	South_America	Neotropics
123	M136	9	8/11/23	11.234	1000	3000	Large	True_Sample	Michmelia	seminigra	5	Brazil	Amazonas, INPA	Ethanol	South_America	Neotropics
132	M158	14	8/11/23	3.833	300	8000	Large	True_Sample	Tetragonisca	angustula	5	Peru	Junin, San Ramon	Ethanol/Pinned	South_America	Neotropics
134	M159	14	8/11/23	3.893	300	8000	Large	True_Sample	Tetragonisca	angustula	5	Costa Rica	Guarapita	Ethanol	N_C_America	Neotropics
135	M157	14	8/11/23	4.725	2000	3000	Large	True_Sample	Tetragonisca	weyrauchi	1	Peru	Madre de Dios, TPL	Ethanol (unique specimen)	South_America	Neotropics
136	M153	14	8/11/23	4.268	2000	3000	Large	True_Sample	Tetragonisca	weyrauchi	5	Peru	Madre de Dios, TPL	Ethanol/Pinned	South_America	Neotropics
136	M154	14	8/11/23	4.268	2000	3000	Large	True_Sample	Tetragonisca	weyrauchi	5	Peru	Madre de Dios, TPL	Ethanol/Pinned	South_America	Neotropics
136	M155	14	8/11/23	4.268	2000	3000	Large	True_Sample	Tetragonisca	weyrauchi	5	Peru	Madre de Dios, TPL	Ethanol/Pinned	South_America	Neotropics
136	M156	14	8/11/23	4.268	2000	3000	Large	True_Sample	Tetragonisca	weyrauchi	5	Peru	Madre de Dios, TPL	Ethanol/Pinned	South_America	Neotropics
150	M152	13	8/11/23	3.186	136	600	Small	True_Sample	Trigonisca	buyssoni	1	Costa Rica	Arenal	Ethanol	N_C_America	Neotropics
162	M138	11	8/11/23	5.738	2000	5201	Large	True_Sample	Scaptotrigona	pectoralis	2	Costa Rica	Guanacaste	Ethanol	N_C_America	Neotropics
162	M139	11	8/11/23	5.738	2000	5201	Large	True_Sample	Scaptotrigona	pectoralis	2	Costa Rica	Guanacaste	Ethanol	N_C_America	Neotropics
165	M143	11	8/11/23	6.128	6000	10000	XLarge	True_Sample	Scaptotrigona	postica	5	Brazil	Amazonas, INPA	Ethanol	South_America	Neotropics
