ID_collection	Genus	Species	Number_Bees	Country	Area	Preservation
456	Eomelipona	bicolor	3	Brazil	MG, Conselheiro Lafaiete	NA
461	Eomelipona	marginata	4	Brazil	PNN hives	NA
445	Friesella	schrottkyi	5	Brazil	SP, Ribeirao Preto	NA
462	Frieseomelitta	silvestrii	4	Brazil	PNN hives	NA
457	Frieseomelitta	varia	1	Brazil	SP, Ribeirao Preto	NA
494	Geniotrigona	thoracica	3	Malaysia	Borneo, Labang	NA
436	Geniotrigona	thoracica	5	Malaysia	Borneo, Taman	NA
437	Geniotrigona	thoracica	5	Malaysia	Borneo, Taman	NA
618	Geotrigona	NA	2	Bolivia	Mapiri	NA
464	Geotrigona	mombuca	3	Brazil	SP, Cassio dos Coqueiros	NA
149	Geotrigona	subgrisea	5	Colombia		NA
608	Heterotrigona	erythrogastra	5	Malaysia	04.40,489N,101.27,212E, 2800ft, Kelantan, Ivie et	NA
511	Heterotrigona	itama	2	Malaysia	Borneo, Labang	NA
440	Heterotrigona	itama	3	Malaysia	Borneo, Raflesia	NA
491	Heterotrigona	itama	5	Malaysia	Borneo, Taman	NA
500	Heterotrigona	itama	5	Malaysia	Borneo, Taman	NA
505	Heterotrigona	itama	5	Malaysia	Borneo, Labang	NA
527	Heterotrigona	itama	5	Malaysia	Borneo, Taman	NA
558	Homotrigona	fimbriata	5	Thailand	Tak prov/8Nov05	NA
564	Homotrigona	fimbriata	5	Thailand	Tak prov/8Nov05	NA
534	Lepidotrigona	terminata	1	Malaysia	Borneo, Labang	NA
495	Lepidotrigona	terminata	2	Malaysia	Borneo, Labang	NA
473	Lepidotrigona	terminata	5	Malaysia	Borneo, Labang	NA
508	Lepidotrigona	terminata	5	Malaysia	Borneo, Labang	NA
621	Lestrimelitta	NA	1	Trinidad 	Trinidad, WI, Mt. St. Benedict's	NA
469	Lestrimelitta	limao	3	Brazil	SP, Cassio dos Coqueiros	NA
449	Lestrimelitta	limao	5	Brazil	SP, Ribeirao Preto	NA
595	Lisotrigona	furva	2	Thailand	Doi Inthanon NP. Vachiratharn Waterfall	NA
559	Lisotrigona	furva	5	Thailand	Chanthaburi prov/15Nov05	NA
521	Lophotrigona	canifrons	4	Malaysia	Borneo, Labang	NA
476	Lophotrigona	canifrons	5	Malaysia	Borneo, Labang	NA
