sample	CollectionID	Genus	Species	Box	PrepDate	BodySize(IT)uM	ColonySize(L)	ColonySize(U)	ColonySize	Sample_or_Control 
M044	247	Scaptotrigona	xanthotricha	6	1/11/23	6.853	24	423	Small	True_Sample
M183	613	Scaura	latitarsis	16	8/11/23	4.081	387	450	Small	True_Sample
M150	9	Scaura	latitarsis	13	8/11/23	3.809	387	450	Small	True_Sample
M151	9	Scaura	latitarsis	13	8/11/23	3.809	387	450	Small	True_Sample
M148	89	Scaura	latitarsis	13	8/11/23	3.586	387	450	Small	True_Sample
M149	89	Scaura	latitarsis	13	8/11/23	3.586	387	450	Small	True_Sample
M152	150	Tetragonisca	buyssoni	13	8/11/23	3.186	136	600	Small	True_Sample
M095	221	Trigona	setentrionalis	7	6/11/23	5.019	400	600	Small	True_Sample
M030	432	Hypotrigona	gribodoi	5	1/11/23	4.081	100	750	Small	True_Sample
M031	426	Hypotrigona	gribodoi	5	1/11/23	3.663	100	750	Small	True_Sample
M032	427	Hypotrigona	gribodoi	5	1/11/23	3.086	100	750	Small	True_Sample
M033	430	Hypotrigona	gribodoi	5	1/11/23	2.872	100	750	Small	True_Sample
M034	430	Hypotrigona	gribodoi	5	1/11/23	2.872	100	750	Small	True_Sample
M048	242	melipona	bicolor	6	3/11/23	11.6	150	800	Small	True_Sample
M045	456	Eomelipona	bicolor	6	1/11/23	11.4	150	800	Small	True_Sample
M046	456	Eomelipona	bicolor	6	3/11/23	11.4	150	800	Small	True_Sample
M047	456	Eomelipona	bicolor	6	3/11/23	11.4	150	800	Small	True_Sample
M040	244	Plebeia	minima	6	1/11/23	3.288	200	900	Small	True_Sample
M041	244	Plebeia	minima	6	1/11/23	3.288	200	900	Small	True_Sample
M042	244	Plebeia	minima	6	1/11/23	3.288	200	900	Small	True_Sample
M043	244	Plebeia	minima	6	1/11/23	3.288	200	900	Small	True_Sample
M137	86	Plebeia	minima	10	8/11/23	3.147	200	900	Small	True_Sample
M124	120	Melikerria	fasciculata	9	8/11/23	8.673	300	1000	Medium 	True_Sample
M125	120	Melikerria	fasciculata	9	8/11/23	8.673	300	1000	Medium 	True_Sample
M035	406	Meliponula	bocandei	5	1/11/23	10.109	1000	1300	Medium 	True_Sample
M036	406	Meliponula	bocandei	5	1/11/23	10.109	1000	1300	Medium 	True_Sample
M037	407	Meliponula	bocandei	5	1/11/23	9.727	1000	1300	Medium 	True_Sample
M038	407	Meliponula	bocandei	5	1/11/23	9.727	1000	1300	Medium 	True_Sample
M039	407	Meliponula	bocandei	5	1/11/23	9.727	1000	1300	Medium 	True_Sample
M050	237	Frieseomelitta	varia	6	3/11/23	5.265	800	1600	Medium 	True_Sample
M049	457	Frieseomelitta	varia	6	3/11/23	5.098	800	1600	Medium 	True_Sample
M051	243	Frieseomelitta	varia	6	3/11/23	4.596	800	1600	Medium 	True_Sample
M096	220	Trigona	nigerrima	7	6/11/23	6.039	700	1800	Medium 	True_Sample
M165	6	Trigona	obscura	15	8/11/23	4.321		1900	Medium 	True_Sample
M166	6	Trigona	obscura	15	8/11/23	4.321		1900	Medium 	True_Sample
M167	6	Trigona	obscura	15	8/11/23	4.321		1900	Medium 	True_Sample
M168	6	Trigona	obscura	15	8/11/23	4.321		1900	Medium 	True_Sample
M169	6	Trigona	obscura	15	8/11/23	4.321		1900	Medium 	True_Sample
M052	448	Frieseomelitta	tataira	6	3/11/23	4.938		1900	Medium 	True_Sample
M053	448	Frieseomelitta	tataira	6	3/11/23	4.938		1900	Medium 	True_Sample
M054	448	Frieseomelitta	tataira	6	3/11/23	4.938		1900	Medium 	True_Sample
M055	448	Frieseomelitta	tataira	6	3/11/23	4.938		1900	Medium 	True_Sample
M056	448	Frieseomelitta	tataira	6	3/11/23	4.938		1900	Medium 	True_Sample
M025	223	Plebeia	australis	4	1/11/23	4.494		2000	Medium 	True_Sample
M026	223	Plebeia	australis	4	1/11/23	4.494		2000	Medium 	True_Sample
M027	223	Plebeia	australis	4	1/11/23	4.494		2000	Medium 	True_Sample
M028	223	Plebeia	australis	4	1/11/23	4.494		2000	Medium 	True_Sample
M029	223	Plebeia	australis	4	1/11/23	4.494		2000	Medium 	True_Sample
M129	294	Melipona	beecheii	9	8/11/23	10.952	300	2000	Medium 	True_Sample
M130	294	Melipona	beecheii	9	8/11/23	10.952	300	2000	Medium 	True_Sample
M131	294	Melipona	beecheii	9	8/11/23	10.952	300	2000	Medium 	True_Sample
M126	121	Michmelia	scutellaris	9	8/11/23	12.367	1000	2000	Medium 	True_Sample
M127	121	Michmelia	scutellaris	9	8/11/23	12.367	1000	2000	Medium 	True_Sample
M128	121	Michmelia	scutellaris	9	8/11/23	12.367	1000	2000	Medium 	True_Sample
M184	601	Tetragonula	iridipennis	16	8/11/23	4.571		2500	Medium 	True_Sample
M057	461	Eomelipona	marginata	6	3/11/23	8.293	160	2500	Medium 	True_Sample
M058	461	Eomelipona	marginata	6	3/11/23	8.293	160	2500	Medium 	True_Sample
M059	461	Eomelipona	marginata	6	3/11/23	8.288	160	2500	Medium 	True_Sample
M060	461	Eomelipona	marginata	6	3/11/23	8.288	160	2500	Medium 	True_Sample
M061	472	Schwarziana	quadripunctata	6	6/11/23	6.591	500	2500	Medium 	True_Sample
M064	240	Friesella	schrottkyi	6	6/11/23	3.682	300	2500	Medium 	True_Sample
M065	240	Friesella	schrottkyi	6	6/11/23	3.682	300	2500	Medium 	True_Sample
M066	240	Friesella	schrottkyi	6	6/11/23	3.682	300	2500	Medium 	True_Sample
M062	445	Friesella	schrottkyi	6	6/11/23	3.566	300	2500	Medium 	True_Sample
M063	445	Friesella	schrottkyi	6	6/11/23	3.566	300	2500	Medium 	True_Sample
M097	52	Trigona	amalthea	7	6/11/23	9.374		3000	Large 	True_Sample
M098	204	Trigona	amalthea	7	6/11/23	8.405		3000	Large 	True_Sample
M099	208	Trigona	amalthea	7	6/11/23	7.81		3000	Large 	True_Sample
M100	207	Trigona	amalthea	7	6/11/23	7.738		3000	Large 	True_Sample
M101	207	Trigona	amalthea	7	6/11/23	7.738		3000	Large 	True_Sample
M067	239	Plebeia	droryana	6	6/11/23	4.578	1070	3000	Large 	True_Sample
M068	239	Plebeia	droryana	6	6/11/23	4.578	1070	3000	Large 	True_Sample
M069	239	Plebeia	droryana	6	6/11/23	4.578	1070	3000	Large 	True_Sample
M075	464	Geotrigona	mombuca	6	6/11/23	5.840	2000	3000	Large 	True_Sample
M076	464	Geotrigona	mombuca	6	6/11/23	5.840	2000	3000	Large 	True_Sample
