SampleID	CollectionID	Bee_Genus	Bee_Species	Box	PrepDate	BodySize_IT_uM	ColonySize_L	ColonySize_U	ColonySize
M044	247	Scaptotrigona	xanthotricha	6	01/11/2023	6.853	24	423	Small
M183	613	Scaura	latitarsis	16	08/11/2023	4.081	387	450	Small
M150	9	Scaura	latitarsis	13	08/11/2023	3.809	387	450	Small
M151	9	Scaura	latitarsis	13	08/11/2023	3.809	387	450	Small
M148	89	Scaura	latitarsis	13	08/11/2023	3.586	387	450	Small
M149	89	Scaura	latitarsis	13	08/11/2023	3.586	387	450	Small
M152	150	Tetragonisca	buyssoni	13	08/11/2023	3.186	136	600	Small
M095	221	Trigona	setentrionalis	7	06/11/2023	5.019	400	600	Small
M030	432	Hypotrigona	gribodoi	5	01/11/2023	4.081	100	750	Small
M031	426	Hypotrigona	gribodoi	5	01/11/2023	3.663	100	750	Small
M032	427	Hypotrigona	gribodoi	5	01/11/2023	3.086	100	750	Small
M033	430	Hypotrigona	gribodoi	5	01/11/2023	2.872	100	750	Small
M034	430	Hypotrigona	gribodoi	5	01/11/2023	2.872	100	750	Small
M048	242	melipona	bicolor	6	03/11/2023	11.6	150	800	Small
M045	456	Eomelipona	bicolor	6	01/11/2023	11.4	150	800	Small
M046	456	Eomelipona	bicolor	6	03/11/2023	11.4	150	800	Small
M047	456	Eomelipona	bicolor	6	03/11/2023	11.4	150	800	Small
M040	244	Plebeia	minima	6	01/11/2023	3.288	200	900	Small
M041	244	Plebeia	minima	6	01/11/2023	3.288	200	900	Small
M042	244	Plebeia	minima	6	01/11/2023	3.288	200	900	Small
M043	244	Plebeia	minima	6	01/11/2023	3.288	200	900	Small
M137	86	Plebeia	minima	10	08/11/2023	3.147	200	900	Small
M124	120	Melikerria	fasciculata	9	08/11/2023	8.673	300	1000	Medium 
M125	120	Melikerria	fasciculata	9	08/11/2023	8.673	300	1000	Medium 
M035	406	Meliponula	bocandei	5	01/11/2023	10.109	1000	1300	Medium 
M036	406	Meliponula	bocandei	5	01/11/2023	10.109	1000	1300	Medium 
M037	407	Meliponula	bocandei	5	01/11/2023	9.727	1000	1300	Medium 
M038	407	Meliponula	bocandei	5	01/11/2023	9.727	1000	1300	Medium 
M039	407	Meliponula	bocandei	5	01/11/2023	9.727	1000	1300	Medium 
M050	237	Frieseomelitta	varia	6	03/11/2023	5.265	800	1600	Medium 
M049	457	Frieseomelitta	varia	6	03/11/2023	5.098	800	1600	Medium 
M051	243	Frieseomelitta	varia	6	03/11/2023	4.596	800	1600	Medium 
M096	220	Trigona	nigerrima	7	06/11/2023	6.039	700	1800	Medium 
M165	6	Trigona	obscura	15	08/11/2023	4.321		1900	Medium 
M166	6	Trigona	obscura	15	08/11/2023	4.321		1900	Medium 
M167	6	Trigona	obscura	15	08/11/2023	4.321		1900	Medium 
M168	6	Trigona	obscura	15	08/11/2023	4.321		1900	Medium 
M169	6	Trigona	obscura	15	08/11/2023	4.321		1900	Medium 
M052	448	Frieseomelitta	tataira	6	03/11/2023	4.938		1900	Medium 
M053	448	Frieseomelitta	tataira	6	03/11/2023	4.938		1900	Medium 
