SampleID;Mean_Conc
M001;691,8123
M001;691,8123
M001;691,8123
M002;686,3906
M002;686,3906
M002;686,3906
M003;122,3568
M003;122,3568
M003;122,3568
M004;98,7083
M004;98,7083
M004;98,7083
M005;441,0266
M005;441,0266
M005;441,0266
M006;138,0336
M006;138,0336
M006;138,0336
M007;39698,8807
M007;39698,8807
M007;39698,8807
M008;8229,1305
M008;8229,1305
M008;8229,1305
M009;3897,6362
M009;3897,6362
M009;3897,6362
M010;7996,405
M010;7996,405
M010;7996,405
M011;11163,3795
M011;11163,3795
M011;11163,3795
M012;732,4325
M012;732,4325
M012;732,4325
M013;39779,2401
M013;39779,2401
M013;39779,2401
M014;918,5717
M014;918,5717
M014;918,5717
M015;813,9023
M015;813,9023
M015;813,9023
M016;30697,0175
M016;30697,0175
M016;30697,0175
M017;2462,0696
M017;2462,0696
M017;2462,0696
M018;17743,1225
M018;17743,1225
M018;17743,1225
M019;5484,248
M019;5484,248
M019;5484,248
M020;14698,6622
M020;14698,6622
M020;14698,6622
M021;77,1754
M021;77,1754
M021;77,1754
M022;315,7622
M022;315,7622
M022;315,7622
M023;22946,1485
M023;22946,1485
M023;22946,1485
M024;313,5164
M024;313,5164
M024;313,5164
M025;180,802
M025;180,802
M025;180,802
M026;53,6556
M026;53,6556
M026;53,6556
M027;14,6172
M027;14,6172
M027;14,6172
M028;9882,8719
M028;9882,8719
M028;9882,8719
M029;479,5792
M029;479,5792
M029;479,5792
M030;0,8193
M030;0,8193
M030;0,8193
M031;0,0199
M031;0,0199
M031;0,0199
M032;153,6715
M032;153,6715
M032;153,6715
M033;324,6232
M033;324,6232
M033;324,6232
M034;21,6659
M034;21,6659
M034;21,6659
M035;55890,0133
M035;55890,0133
M035;55890,0133
M036;141,9195
M036;141,9195
M036;141,9195
M037;8017,8627
M037;8017,8627
M037;8017,8627
M038;17260,8818
M038;17260,8818
M038;17260,8818
M039;66205,4381
M039;66205,4381
M039;66205,4381
M040;0,2232
M040;0,2232
M040;0,2232
M041;0,9375
M041;0,9375
M041;0,9375
M042;0,3741
M042;0,3741
M042;0,3741
M043;0,0325
M043;0,0325
M043;0,0325
M044;0,3889
M044;0,3889
M044;0,3889
M045;54810,8465
M045;54810,8465
M045;54810,8465
M046;88490,9478
M046;88490,9478
M046;88490,9478
M047;12910,6457
M047;12910,6457
M047;12910,6457
M048;5,0626
M048;5,0626
M048;5,0626
M049;45266,6966
M049;45266,6966
M049;45266,6966
M050;0,4303
M050;0,4303
M050;0,4303
M051;12,7779
M051;12,7779
M051;12,7779
M052;194736,0007
M052;194736,0007
M052;194736,0007
M053;352864,7738
M053;352864,7738
M053;352864,7738
M054;213910,0277
M054;213910,0277
M054;213910,0277
M055;64494,583
M055;64494,583
M055;
M056;12221,5539
M056;12221,5539
M056;12221,5539
M057;531,2737
M057;531,2737
M057;531,2737
M058;21318,9604
M058;21318,9604
M058;21318,9604
M059;42841,8504
M059;42841,8504
M059;42841,8504
M060;662,8303
M060;662,8303
M060;662,8303
M061;6,8336
M061;6,8336
M061;6,8336
